"ABBOTT, HARVEY LESLIE                   1974"
"        Aull, Charles E."
"        Brown, Ezra A."
"        Dierker, Paul F."
"        Exoo, Geoffrey"
"        Gardner, Ben"
"        HANSON, DENIS"
"        Hare, Donovan R."
"        Katchalski, Meir"
"        Liu, Andy C. F."
"        MEIR, AMRAM"
"        MOON, JOHN W."
"        MOSER, LEO*"
"        Pareek, Chandra Mohan"
"        Riddell, James"
"        SAUER, NORBERT W."
"        SIMMONS, GUSTAVUS J."
"        Smuga-Otto, M. J."
"        SUBBARAO, MATUKUMALLI VENKATA*"
"        Suryanarayana, D."
"        Toft, Bjarne"
"        Wang, Edward Tzu Hsia"
"        Williams, Emlyn R."
"        Zhou, Bing^1"
"ACZEL, JANOS D.                         1965"
"        Abbas, Ali E."
"        Aczel, S."
"        Alsina Catala, Claudi"
"        Baker, John A."
"        Beckenbach, Edwin F."
"        Beda, Gyula"
"        Belousov, Valentin Danilovich"
"        Benz, Walter"
"        Berg, Lothar"
"        Boros, Zoltan"
"        Chudziak, Jacek"
"        Daroczy, Zoltan"
"        Dhombres, Jean G."
"        Djokovic, Dragomir Z."
"        Egervary, Jeno"
"        Eichhorn, Wolfgang"
"        Ertel, Wolfgang"
"        Falmagne, Jean-Claude"
"        Feferman, Solomon"
"        Fenyo, Istvan"
"        Fischer, Pal"
"        Fladt, Kuno"
"        Forte, Bruno"
"        Fuchs, Ladislas"
"        Gati, Jozsef"
"        Gehrig, Wilhelm"
"        Ger, Roman"
"        Ghermanescu, Mihail"
"        Gilanyi, Attila"
"        Girgensohn, Roland"
"        Golab, Stanislaw"
"        Gronau, Detlef"
"        Haruki, Hiroshi"
"        Haruki, Shigeru"
"        Heller, Jurgen"
"        Horvath, Jean"
"        Hosszu, Miklos"
"        Janossy, Lajos"
"        Jarai, Antal, Sr."
"        Kalmar, Laszlo"
"        Kannappan, Palaniappan"
"        Kardos, Peter"
"        Kiesewetter, Helmut"
"        Kuczma, Marek"
"        Losonczi, Laszlo"
"        Luce, R. Duncan"
"        Lundberg, Anders"
"        Maksa, Gyula"
"        Marley, Anthony A. J."
"        McKiernan, Michel A."
"        Mikusinski, Jan G."
"        Moszner, Zenon"
"        Nath, Prem"
"        Ng, Che That"
"        Ostrowski, Alexander M."
"        Paganoni, Luigi"
"        Pales, Zsolt"
"        Pfanzagl, Johann"
"        Pfingsten, Andreas"
"        Pickert, Gunter"
"        Rado, Francisc"
"        RENYI, ALFRED A.*"
"        Roberts, Fred S."
"        Rosenbaum, Zangwill Samuel"
"        Rote, Gunter"
"        Saaty, Thomas L."
"        Sakovich, Gleb Nestorovich"
"        Schwaiger, Jens"
"        Siwek, Edward"
"        Skof, Fulvia"
"        STRAUS, ERNST GABOR*"
"        Taylor, Mark Adrian"
"        Torok, Sandor"
"        Varga, Otto"
"        Vincze, Endre"
"        Vranceanu, Gheorghe"
"        Wagner, Carl G."
"        Wallace, Alexander Doniphan"
"        Zhong, Ju Kang"
"        Zubrzycki, Stefan"
